Month,Revenue (BWP),Gross Margin,Gross Profit (BWP),OPEX (BWP),Net Profit/Loss (BWP),Year
2026-01-31,62099.99999999999,0.17,10557.0,25000.0,-14443.0,2026
2026-02-28,71414.99999999999,0.19545454545454546,13958.386363636362,26250.0,-12291.613636363638,2026
2026-03-31,82127.24999999999,0.22090909090909092,18142.656136363632,27562.5,-9419.843863636368,2026
2026-04-30,94446.33749999997,0.2463636363636364,23268.143147727267,28940.625000000004,-5672.481852272736,2026
2026-05-31,108613.28812499996,0.27181818181818185,29523.06649943181,30387.656250000007,-864.5897505681969,2026
2026-06-30,124905.28134374994,0.2972727272727273,37130.93363582385,31907.039062500007,5223.894573323843,2026
2026-07-31,143641.07354531242,0.32272727272727275,46356.89191689628,33502.39101562501,12854.500901271269,2026
2026-08-31,165187.23457710928,0.3481818181818182,57515.19167548441,35177.510566406265,22337.68110907815,2026
2026-09-30,189965.31976367565,0.37363636363636366,70977.95129351881,36936.38609472658,34041.56519879223,2026
2026-10-31,218460.11772822696,0.3990909090909091,87185.44698426513,38783.2053994629,48402.24158480223,2026
2026-11-30,251229.135387461,0.42454545454545456,106658.18747813116,40722.36566943605,65935.82180869512,2026
2026-12-31,288913.50569558016,0.45,130011.07756301107,42758.48395290785,87252.59361010321,2026
2027-01-31,332250.5315499171,0.45,149512.7391974627,44896.40815055325,104616.33104690946,2027
2027-02-28,382088.1112824047,0.45,171939.6500770821,47141.22855808092,124798.42151900119,2027
2027-03-31,439401.3279747654,0.45,197730.59758864442,49498.289985984964,148232.30760265945,2027
2027-04-30,505311.52717098006,0.45,227390.18722694102,51973.204485284215,175416.9827416568,2027
2027-05-31,581108.2562466271,0.45,261498.7153109822,54571.86470954843,206926.85060143378,2027
2027-06-30,668274.494683621,0.45,300723.5226076295,57300.45794502585,243423.06466260363,2027
2027-07-31,768515.6688861641,0.45,345832.05099877383,60165.48084227714,285666.5701564967,2027
2027-08-31,883793.0192190888,0.45,397706.85864859,63173.75488439101,334533.10376419895,2027
2027-09-30,1016361.972101952,0.45,457362.8874458784,66332.44262861056,391030.4448172678,2027
2027-10-31,1168816.2679172447,0.45,525967.3205627601,69649.06476004109,456318.25580271904,2027
2027-11-30,1344138.7081048312,0.45,604862.418647174,73131.51799804316,531730.9006491308,2027
2027-12-31,1545759.5143205558,0.45,695591.7814442501,76788.0938979453,618803.6875463049,2027
2028-01-31,1777623.441468639,0.45,799930.5486608876,80627.49859284257,719303.050068045,2028
2028-02-29,2044266.9576889349,0.45,919920.1309600207,84658.87352248472,835261.257437536,2028
2028-03-31,2350907.0013422747,0.45,1057908.1506040236,88891.81719860894,969016.3334054146,2028
2028-04-30,2703543.0515436158,0.45,1216594.3731946272,93336.4080585394,1123257.9651360877,2028
2028-05-31,3109074.509275158,0.45,1399083.5291738212,98003.22846146638,1301080.300712355,2028
2028-06-30,3575435.6856664317,0.45,1608946.0585498943,102903.3898845397,1506042.6686653546,2028
2028-07-31,4111751.0385163957,0.45,1850287.967332378,108048.5593787667,1742239.4079536113,2028
2028-08-31,4728513.694293855,0.45,2127831.1624322347,113450.98734770503,2014380.1750845297,2028
2028-09-30,5437790.748437933,0.45,2447005.8367970698,119123.53671509029,2327882.3000819795,2028
2028-10-31,6253459.360703622,0.45,2814056.71231663,125079.7135508448,2688976.9987657852,2028
2028-11-30,7191478.264809164,0.45,3236165.2191641238,131333.69922838703,3104831.519935737,2028
2028-12-31,8270200.00453054,0.45,3721590.002038743,137900.3841898064,3583689.6178489365,2028
